sample_group,product_key,platform,product_id,product_name,brand,category,base_skin_type,total_review_count,skin_review_count,skin_positive_count,skin_neutral_count,skin_negative_count,skin_positive_rate,skin_neutral_rate,skin_negative_rate,skin_confidence_label,caution_level,caution_message,top_skin_need_tags,top_skin_concern_tags,skin_concern_code_count,manual_check_note
aggregate_count_check_samples,musinsa::5837298,musinsa,5837298,[2pack] 메디힐 마데카소사이드 수분 선세럼 흔적 리페어 더블 기획세트,mediheal,beauty,복합성,314,146,136,7,3,0.9315,0.0479,0.0205,비교적 신뢰 가능,normal,선택 피부 타입 리뷰 기준으로 특별히 높은 부정 신호는 확인되지 않습니다.,"진정, 보습, 모공, 트러블, 유수분 조절",,0,원본재필터: n=146 pos=136 neu=7 neg=3 | 집계: n=146 pos=136 neu=7 neg=3 | 일치
aggregate_count_check_samples,oliveyoung::A000000230537,oliveyoung,A000000230537,[포켓몬 에디션]오브제 포어 제로 프레쉬 올인원 150ml 단품/기획 2종 택1(+꼬부기 키캡키링),오브제,skincare,중성,229,1,1,0,0,1.0,0.0,0.0,근거 부족,insufficient_evidence,선택 피부 타입 리뷰 수가 적어 참고용으로만 확인하세요.,,"보습, 각질",0,원본재필터: n=1 pos=1 neu=0 neg=0 | 집계: n=1 pos=1 neu=0 neg=0 | 일치
aggregate_count_check_samples,musinsa::2626804,musinsa,2626804,헤이지그린 바디스프레이 250ml,duftndoft,beauty,복합성,32,2,2,0,0,1.0,0.0,0.0,근거 부족,insufficient_evidence,선택 피부 타입 리뷰 수가 적어 참고용으로만 확인하세요.,"진정, 보습, 모공, 영양공급",,0,원본재필터: n=2 pos=2 neu=0 neg=0 | 집계: n=2 pos=2 neu=0 neg=0 | 일치
aggregate_count_check_samples,musinsa::5006445,musinsa,5006445,세라엠디 리페어 로션 400MLX 2개+[증정]쿨시트1매+세라엠디로션20ml,dermab,beauty,민감성,387,40,38,2,0,0.95,0.05,0.0,비교적 신뢰 가능,normal,선택 피부 타입 리뷰 기준으로 특별히 높은 부정 신호는 확인되지 않습니다.,"진정, 보습, 모공, 트러블, 유수분 조절",,0,원본재필터: n=40 pos=38 neu=2 neg=0 | 집계: n=40 pos=38 neu=2 neg=0 | 일치
aggregate_count_check_samples,oliveyoung::A000000245794,oliveyoung,A000000245794,[화잘먹/단독기획]폴라초이스 바하 리퀴드 엑스폴리언트 118ml 기획 (+바하 리퀴드 30ml),폴라초이스,skincare,복합성,204,11,8,2,1,0.7273,0.1818,0.0909,참고 가능,normal,선택 피부 타입 리뷰 기준으로 특별히 높은 부정 신호는 확인되지 않습니다.,,"미백, 주름, 트러블, 각질, 모공",2,원본재필터: n=11 pos=8 neu=2 neg=1 | 집계: n=11 pos=8 neu=2 neg=1 | 일치
aggregate_count_check_samples,oliveyoung::A000000253342,oliveyoung,A000000253342,블랑네이처 9배 어성초 버블 클렌징 밀크 150ml 단품/기획,블랑네이처,cleansing,중성,189,1,0,1,0,0.0,1.0,0.0,근거 부족,insufficient_evidence,선택 피부 타입 리뷰 수가 적어 참고용으로만 확인하세요.,,"미백, 주름",0,원본재필터: n=1 pos=0 neu=1 neg=0 | 집계: n=1 pos=0 neu=1 neg=0 | 일치
aggregate_count_check_samples,musinsa::5430924,musinsa,5430924,[2개부터 구매가능] 펜타 세라마이드 모이스처라이징 크림,musinsastandardbt,beauty,복합성,90,46,40,6,0,0.8696,0.1304,0.0,비교적 신뢰 가능,normal,선택 피부 타입 리뷰 기준으로 특별히 높은 부정 신호는 확인되지 않습니다.,"진정, 보습, 유수분 조절, 모공, 탄력",,0,원본재필터: n=46 pos=40 neu=6 neg=0 | 집계: n=46 pos=40 neu=6 neg=0 | 일치
aggregate_count_check_samples,musinsa::6156641,musinsa,6156641,어린 새싹 클린 토너 200ml,suiskin,beauty,지성,88,29,27,2,0,0.931,0.069,0.0,비교적 신뢰 가능,normal,선택 피부 타입 리뷰 기준으로 특별히 높은 부정 신호는 확인되지 않습니다.,"진정, 보습, 모공, 트러블, 유수분 조절",,0,원본재필터: n=29 pos=27 neu=2 neg=0 | 집계: n=29 pos=27 neu=2 neg=0 | 일치
aggregate_count_check_samples,musinsa::3441774,musinsa,3441774,[자몽 허브티 플로럴 향] 티블레스 살냄새 퍼퓸 바디 로션 480ml,teabless,beauty,건성,7,3,3,0,0,1.0,0.0,0.0,근거 부족,insufficient_evidence,선택 피부 타입 리뷰 수가 적어 참고용으로만 확인하세요.,"진정, 보습",,0,원본재필터: n=3 pos=3 neu=0 neg=0 | 집계: n=3 pos=3 neu=0 neg=0 | 일치
aggregate_count_check_samples,oliveyoung::A000000246223,oliveyoung,A000000246223,[7일특가/리뷰이벤트] 더마젼시 제로카 81 세럼 30ml,더마젼시,skincare,지성,90,14,13,1,0,0.9286,0.0714,0.0,참고 가능,normal,선택 피부 타입 리뷰 기준으로 특별히 높은 부정 신호는 확인되지 않습니다.,,"미백, 주름, 모공, 각질, 홍조",2,원본재필터: n=14 pos=13 neu=1 neg=0 | 집계: n=14 pos=13 neu=1 neg=0 | 일치
aggregate_count_check_samples,oliveyoung::A000000225083,oliveyoung,A000000225083,수이사이 뷰티 클리어 그린/핑크 파우더워시 4종 택1 (15개입/32개입),수이사이,cleansing,건성,141,13,13,0,0,1.0,0.0,0.0,참고 가능,normal,선택 피부 타입 리뷰 기준으로 특별히 높은 부정 신호는 확인되지 않습니다.,,"미백, 모공, 주름, 보습",5,원본재필터: n=13 pos=13 neu=0 neg=0 | 집계: n=13 pos=13 neu=0 neg=0 | 일치
aggregate_count_check_samples,musinsa::4068658,musinsa,4068658,밀착 커버 톤업 선 쿠션 클리어 베이지 12g,giverny,beauty,민감성,18,1,1,0,0,1.0,0.0,0.0,근거 부족,insufficient_evidence,선택 피부 타입 리뷰 수가 적어 참고용으로만 확인하세요.,"진정, 보습, 트러블, 유수분 조절",,0,원본재필터: n=1 pos=1 neu=0 neg=0 | 집계: n=1 pos=1 neu=0 neg=0 | 일치
aggregate_count_check_samples,musinsa::4243218,musinsa,4243218,울트라 라이트 인비저블 선세럼 50ml x 2개,cosrx,beauty,건성,142,28,27,0,1,0.9643,0.0,0.0357,비교적 신뢰 가능,normal,선택 피부 타입 리뷰 기준으로 특별히 높은 부정 신호는 확인되지 않습니다.,"진정, 보습, 모공, 유수분 조절, 탄력",,0,원본재필터: n=28 pos=27 neu=0 neg=1 | 집계: n=28 pos=27 neu=0 neg=1 | 일치
aggregate_count_check_samples,oliveyoung::A000000243435,oliveyoung,A000000243435,[연어PDRN/미백천재앰플] 메디큐브 PDRN 핑크 펩타이드 앰플 30ml 기획(앰플10ml+수분크림 10ml),메디큐브,skincare,복합성,39,2,1,1,0,0.5,0.5,0.0,근거 부족,insufficient_evidence,선택 피부 타입 리뷰 수가 적어 참고용으로만 확인하세요.,,"미백, 주름",1,원본재필터: n=2 pos=1 neu=1 neg=0 | 집계: n=2 pos=1 neu=1 neg=0 | 일치
aggregate_count_check_samples,musinsa::5098454,musinsa,5098454,시카 아크네 클리어 필링스크럽 200g,illiyoon,beauty,복합성,24,12,11,1,0,0.9167,0.0833,0.0,참고 가능,normal,선택 피부 타입 리뷰 기준으로 특별히 높은 부정 신호는 확인되지 않습니다.,"모공, 진정, 보습, 트러블, 영양공급",,0,원본재필터: n=12 pos=11 neu=1 neg=0 | 집계: n=12 pos=11 neu=1 neg=0 | 일치
aggregate_count_check_samples,musinsa::6250559,musinsa,6250559,밀크씨슬 리페어 시카 선스크린 플러스 SPF45PA3+,banobagi,beauty,건성,6,2,2,0,0,1.0,0.0,0.0,근거 부족,insufficient_evidence,선택 피부 타입 리뷰 수가 적어 참고용으로만 확인하세요.,"진정, 보습, 미백, 탄력",,0,원본재필터: n=2 pos=2 neu=0 neg=0 | 집계: n=2 pos=2 neu=0 neg=0 | 일치
aggregate_count_check_samples,oliveyoung::A000000228902,oliveyoung,A000000228902,[NEW/열감쿨링] 닥터지 레드 블레미쉬 순무 시카 아이싱 패드 60매 리필 기획 (+60매 리필),닥터지,maskpack,지성,236,33,25,6,2,0.7576,0.1818,0.0606,비교적 신뢰 가능,normal,선택 피부 타입 리뷰 기준으로 특별히 높은 부정 신호는 확인되지 않습니다.,,"미백, 주름, 보습, 각질, 모공",4,원본재필터: n=33 pos=25 neu=6 neg=2 | 집계: n=33 pos=25 neu=6 neg=2 | 일치
aggregate_count_check_samples,musinsa::1246381,musinsa,1246381,[+바디워시 증정] 퍼퓸 데오 바디스프레이 200ml 프레쉬향,dashu,beauty,민감성,5123,176,165,11,0,0.9375,0.0625,0.0,비교적 신뢰 가능,normal,선택 피부 타입 리뷰 기준으로 특별히 높은 부정 신호는 확인되지 않습니다.,"진정, 보습, 트러블, 모공, 유수분 조절",,0,원본재필터: n=176 pos=165 neu=11 neg=0 | 집계: n=176 pos=165 neu=11 neg=0 | 일치
aggregate_count_check_samples,musinsa::3802486,musinsa,3802486,[3PACK]베이비마일드 오가닉 립밤 4g,drbronners,beauty,민감성,61,6,6,0,0,1.0,0.0,0.0,참고 가능,normal,선택 피부 타입 리뷰 기준으로 특별히 높은 부정 신호는 확인되지 않습니다.,"진정, 보습, 모공, 미백, 트러블",,0,원본재필터: n=6 pos=6 neu=0 neg=0 | 집계: n=6 pos=6 neu=0 neg=0 | 일치
aggregate_count_check_samples,oliveyoung::A000000166709,oliveyoung,A000000166709,[단독기획] 스킨푸드 패드 레시피 11종 모음,스킨푸드,maskpack,복합성,130,5,3,0,2,0.6,0.0,0.4,참고 가능,high_negative_signal,선택 피부 타입 리뷰에서 부정 반응 비율이 상대적으로 높습니다. 구매 전 부정 리뷰를 먼저 확인하세요.,,"미백, 트러블, 주름, 보습, 모공",1,원본재필터: n=5 pos=3 neu=0 neg=2 | 집계: n=5 pos=3 neu=0 neg=2 | 일치
high_negative_signal_samples,oliveyoung::A000000252917,oliveyoung,A000000252917,[온라인단독] 라로슈포제 시카플라스트 밤 B5+& 멀티리페어 크림 B5 100ml 기획 (+시카에센스 7.5ml*2),라로슈포제,skincare,지성,227,37,22,2,13,0.5946,0.0541,0.3514,비교적 신뢰 가능,high_negative_signal,선택 피부 타입 리뷰에서 부정 반응 비율이 상대적으로 높습니다. 구매 전 부정 리뷰를 먼저 확인하세요.,,"보습, 미백, 주름, 각질, 홍조",10,neg_review_text 샘플: [백탁심한 무기자차 선크림바르는 느낌인데요. 겉은 번들한데 속은 또 건조합니다. 수부지타입이에요. 그래도 샘플쓸땐 괜찮길래 편평사마귀 빼고 샀는데...일주일쓰고 피부 뒤집어졌어요ㅜㅜ 민감성아니라서 왠만하면 괜찮은데 왕]
high_negative_signal_samples,oliveyoung::A000000206904,oliveyoung,A000000206904,라로슈포제 시카플라스트 밤 B5+ 100ml 기획 (+3ml 추가증정),라로슈포제,skincare,민감성,240,6,3,0,3,0.5,0.0,0.5,참고 가능,high_negative_signal,선택 피부 타입 리뷰에서 부정 반응 비율이 상대적으로 높습니다. 구매 전 부정 리뷰를 먼저 확인하세요.,,"보습, 홍조, 탄력, 각질, 미백",3,neg_review_text 샘플: [하 개비싼데 너무 빨리 써버리네..큰 얼굴을 탓해야하나 세일 자주해주세념ㅜㅜ 장벽 무너졌울때 이거만 바르면 3일안에 복구가능]
high_negative_signal_samples,oliveyoung::A000000204081,oliveyoung,A000000204081,[오선우pick/파데프리] 아누아 매트벗글로우 커버 베이지 50ml,아누아,suncare,지성,233,50,32,2,16,0.64,0.04,0.32,비교적 신뢰 가능,high_negative_signal,선택 피부 타입 리뷰에서 부정 반응 비율이 상대적으로 높습니다. 구매 전 부정 리뷰를 먼저 확인하세요.,,"주름, 미백, 보습, 모공, 트러블",12,neg_review_text 샘플: [너무너무 따가워요 바를때마다 맨날 간지럽고 따가워서 내피부가 민감한가 햇는데 몇주지나고 발라도 따갑고 간지러움 민감성피부 절대사지마 절대로!!!!!!]
high_negative_signal_samples,oliveyoung::A000000206904,oliveyoung,A000000206904,라로슈포제 시카플라스트 밤 B5+ 100ml 기획 (+3ml 추가증정),라로슈포제,skincare,건성,240,15,6,4,5,0.4,0.2667,0.3333,참고 가능,high_negative_signal,선택 피부 타입 리뷰에서 부정 반응 비율이 상대적으로 높습니다. 구매 전 부정 리뷰를 먼저 확인하세요.,,"미백, 보습, 주름, 트러블, 홍조",1,"neg_review_text 샘플: [지성+민감성인데 얼굴에 홍조랑 열감 때문에 샀어요. 도톰하게 올린 부분은 화농성 여드름 파티구요 얇게 올린 부분도 좁쌀+화농성 개많이 생겼어요 조심하세요........]"
high_negative_signal_samples,oliveyoung::A000000250764,oliveyoung,A000000250764,[역대급증정/자극제로/쌀뜨물클렌징밀크] 에스네이처 아쿠아 라이스 클렌징밀크 280ml 기획(+리필100ml+모공브러쉬),에스네이처,cleansing,민감성,258,19,14,0,5,0.7368,0.0,0.2632,참고 가능,high_negative_signal,선택 피부 타입 리뷰에서 부정 반응 비율이 상대적으로 높습니다. 구매 전 부정 리뷰를 먼저 확인하세요.,,"미백, 보습, 홍조, 주름, 트러블",2,neg_review_text 샘플: [피부 예민하신 분들을 비추천 드리고 세정력이 좀 아쉬워요 썬크림은 지워지는데 픽싱력 좋은 쿠션을 손등에 바르고 아이섀도우나 아이라인을 그려봤는데 아이라인은 손톱으로 개세게 문질러야 지워지고 섀도우는 무난히 지워지는데]
high_negative_signal_samples,oliveyoung::A000000237473,oliveyoung,A000000237473,[화잘먹/1분퀵필링] 일소 노 트러블럼 필링 스왑 4g 8매,일소,cleansing,건성,185,25,13,5,7,0.52,0.2,0.28,비교적 신뢰 가능,high_negative_signal,선택 피부 타입 리뷰에서 부정 반응 비율이 상대적으로 높습니다. 구매 전 부정 리뷰를 먼저 확인하세요.,,"미백, 보습, 주름, 탄력, 홍조",1,neg_review_text 샘플: [쓰고 나니까 자극이 조금 느껴져서 아쉬웠어요 트러블도 조금 더 나는 것 같았어요]
high_negative_signal_samples,oliveyoung::A000000206826,oliveyoung,A000000206826,[5월 올영픽] (50%용량증정) 에스트라 더마UV365 장벽수분 무기자차 선크림 40ml+20ml,에스트라,suncare,민감성,247,20,12,2,6,0.6,0.1,0.3,비교적 신뢰 가능,high_negative_signal,선택 피부 타입 리뷰에서 부정 반응 비율이 상대적으로 높습니다. 구매 전 부정 리뷰를 먼저 확인하세요.,,"보습, 미백, 홍조, 각질, 트러블",1,neg_review_text 샘플: [아.. 제가 가진 선크림 중 제일 축축한 제품이에요. 여러 더마 브랜드것도 있고 무기 유기 다 있고 그런데.. 무기를 이런 발림성으로 내는 기술은 정말 좋아요. 제가 가진 무기들은 이런 발림성까지는 안나오거든요. 근]
high_negative_signal_samples,oliveyoung::A000000237449,oliveyoung,A000000237449,[수지pick/뽀용뇽 공동개발] 아누아 피디알엔 히알루론산 수분 캡슐 미스트 100ml,아누아,skincare,민감성,228,10,4,0,6,0.4,0.0,0.6,참고 가능,high_negative_signal,선택 피부 타입 리뷰에서 부정 반응 비율이 상대적으로 높습니다. 구매 전 부정 리뷰를 먼저 확인하세요.,,"보습, 미백, 홍조, 주름, 트러블",0,neg_review_text 샘플: [솔직히 실망했어요 얼굴에 쓰고 피부염 나서 바디미스트로 썼는데 평생 나본적 없는 바디 트러블 났어요 ㅠㅠ 딱히 민감성도 아닌데 ㅠㅠㅠ 피부화장은 뜨고 밀리고 최악이네요]
high_negative_signal_samples,oliveyoung::A000000211172,oliveyoung,A000000211172,메이크프렘 세이프 미 아미노 리프레시 클렌징밤 100ml 기획 2종 택1,메이크프렘,cleansing,건성,277,18,11,2,5,0.6111,0.1111,0.2778,참고 가능,high_negative_signal,선택 피부 타입 리뷰에서 부정 반응 비율이 상대적으로 높습니다. 구매 전 부정 리뷰를 먼저 확인하세요.,,"보습, 미백, 각질, 주름, 모공",1,neg_review_text 샘플: [유튜브보고 구매했는데 클렌징할 때 너무 미끌거려서 완벽히 세안하기 너무 빡세네요]
high_negative_signal_samples,oliveyoung::A000000254058,oliveyoung,A000000254058,[포켓몬 에디션]VT 리들샷100 에센스 50ml기획 (리들샷300 1ml+PDRN에센스1.5ml+포켓몬아크릴포스트잇),VT,skincare,복합성,233,28,18,2,8,0.6429,0.0714,0.2857,비교적 신뢰 가능,high_negative_signal,선택 피부 타입 리뷰에서 부정 반응 비율이 상대적으로 높습니다. 구매 전 부정 리뷰를 먼저 확인하세요.,,"주름, 미백, 트러블, 모공, 홍조",5,neg_review_text 샘플: [너무따가워서 사용할 수가 없어요 민감해서 그런건지 제품이 원래그런건지 모르겠네요]
high_negative_signal_samples,oliveyoung::A000000171820,oliveyoung,A000000171820,[1등코팩/5관왕] 일소 네추럴 마일드 클리어 노우즈 팩 5매입,일소,maskpack,복합성,273,26,15,3,8,0.5769,0.1154,0.3077,비교적 신뢰 가능,high_negative_signal,선택 피부 타입 리뷰에서 부정 반응 비율이 상대적으로 높습니다. 구매 전 부정 리뷰를 먼저 확인하세요.,,"미백, 주름, 각질, 모공, 트러블",4,"neg_review_text 샘플: [제가 코에 피지가 없는건가봐요…? 화장할때 항상 코에 껴서 썼는데 효과 일도없음 진짜 아무것도 안나옴 왜들 그리 칭송하는지 모르것ㅇ요 내가 피지가 없는건 아닐탠데유….. 그리고 할인을 잘 안해서 아쉽고 학생]"
